"Gene","Cell","R","pValue"
"RASSF1","B cells memory","0.620235195060468","0.0237249185454011"
"MSH2","Dendritic cells resting","-0.593406593406593","0.036025718049201"
"RUNX3","T cells CD8","0.571428571428571","0.0448907229145101"
"CHFR","Macrophages M1","-0.675824175824176","0.0138970000809683"
"CHFR","Dendritic cells resting","-0.571428571428571","0.0448907229145101"
"SYK","B cells memory","0.576556660197055","0.0391462294615647"
"SYK","T cells follicular helper","-0.572215121795959","0.0409997901817577"
"MYC","T cells follicular helper","-0.629986840823435","0.0210117182387561"
"CDKN2A","B cells naive","-0.648351648351648","0.0195813925695771"
"CDKN2A","Plasma cells","-0.67032967032967","0.0149183851158599"
"CDKN2A","Macrophages M0","0.67032967032967","0.0149183851158599"
"CDKN2A","Macrophages M1","-0.604395604395604","0.0321195118097018"
"BSG","Macrophages M0","0.587912087912088","0.038106970223885"
"BSG","Macrophages M1","-0.576923076923077","0.0425371857462402"
"BSG","Dendritic cells resting","-0.637362637362637","0.0222885067534625"
"CPS1","T cells CD4 memory activated","0.689117015169809","0.00917661567821586"
"CPS1","T cells gamma delta","0.731962776973689","0.0044491973524508"
"CPS1","Macrophages M1","0.587912087912088","0.038106970223885"
"UCHL1","Plasma cells","-0.615384615384615","0.0285398925978478"
"UCHL1","Macrophages M0","0.648351648351648","0.0195813925695771"
"UCHL1","Macrophages M1","-0.587912087912088","0.0381069702238849"
"UCHL1","Dendritic cells resting","-0.730769230769231","0.00632274586634187"
"GLS2","B cells memory","-0.620235195060468","0.0237249185454011"
"GLS2","Macrophages M1","0.675824175824176","0.0138970000809683"
"HCCS","Dendritic cells resting","-0.620879120879121","0.0268669104130434"
"CDKN1A","T cells regulatory (Tregs)","-0.862637362637363","0.000188831968710142"
"CDKN1A","T cells gamma delta","0.59448753459792","0.0321296768485538"
"AFP","B cells memory","-0.576556660197055","0.0391462294615647"
"BMP4","T cells regulatory (Tregs)","0.725274725274725","0.00689166372954841"
"SOCS3","Dendritic cells resting","-0.565934065934066","0.0473395951811578"
"TERT","Monocytes","-0.69930514772565","0.0078094989379479"
"TERT","Macrophages M2","-0.615384615384615","0.0285398925978478"
"WNK2","Macrophages M1","-0.593406593406593","0.036025718049201"
"GATA5","B cells naive","0.651943651729599","0.0157524290019997"
"GATA5","Plasma cells","0.58564429731642","0.0354641370768808"
"DACT1","T cells CD4 memory activated","-0.761161066755743","0.00250906275568662"
"CDH8","NK cells activated","-0.626373626373626","0.0252688286928739"
"CDH8","Monocytes","-0.852458754458953","0.000214033576188309"
"CDH8","Macrophages M0","0.642857142857143","0.0209018820886229"
"CDH13","B cells naive","-0.692307692307692","0.0111471863306333"
"CDH13","Plasma cells","-0.587912087912088","0.0381069702238849"
"ZFP82","B cells naive","-0.56043956043956","0.0498860854880627"
"ZFP82","B cells memory","0.55908524625169","0.0469913446166014"
"ZFP82","Macrophages M0","0.56043956043956","0.0498860854880627"
"BVES","Macrophages M2","0.576923076923077","0.0425371857462402"
"HOXA9","B cells memory","0.628934570752402","0.02129281740604"
"TBX2","B cells memory","0.620235195060468","0.0237249185454011"
"TBX2","T cells CD4 memory activated","-0.554425962204801","0.0492611902568265"
"TBX2","T cells gamma delta","-0.609349722962868","0.027050590789217"
"TBX2","Macrophages M1","-0.598901098901099","0.0340306577688046"
"SCARA5","B cells naive","0.708791208791209","0.00882856143647148"
"SCARA5","T cells CD4 memory activated","-0.566955362480615","0.0433294120357032"
"HOXD10","Dendritic cells resting","-0.607744082120813","0.0275687230160926"
"PCDH19","B cells memory","0.620235195060468","0.0237249185454011"
"PCDH19","T cells CD4 memory activated","-0.657793514480272","0.0145353107693155"
"BCL6B","Macrophages M2","0.71978021978022","0.00749781203785236"
"TMEM176A","T cells gamma delta","0.575909799141735","0.039418470752365"
"TMEM176A","Macrophages M2","-0.604395604395604","0.0321195118097018"
"DNAH17","T cells CD4 memory resting","-0.553893359149107","0.0495255655102169"
"DNAH17","Macrophages M0","0.587912087912088","0.038106970223885"
"DNAH17","Dendritic cells resting","-0.741758241758242","0.00529007871807324"
"CT83","Monocytes","-0.622708565419497","0.0230135276901368"
"ACADS","B cells naive","0.642857142857143","0.0209018820886229"
"ACADS","T cells CD8","0.71978021978022","0.00749781203785236"
"ACADS","Macrophages M0","-0.758241758241758","0.00398060705097474"
"TNFRSF12A","T cells follicular helper","-0.585970292992977","0.0353369247182544"
"CRABP1","B cells naive","0.572158757230077","0.0410242637734678"
"CRABP1","Plasma cells","0.647290715250188","0.0167738354813324"
"KLK10","Macrophages M1","-0.693260628329719","0.00860028641072888"
"OXGR1","Mast cells resting","0.59282904870775","0.032736808679838"
"MGMT","B cells naive","0.571428571428571","0.0448907229145101"
"MGMT","T cells gamma delta","0.683660664787608","0.00997977428080836"
"MGMT","Macrophages M0","-0.565934065934066","0.0473395951811578"
"MAT1A","B cells memory","-0.576556660197055","0.0391462294615647"
"MAT1A","Macrophages M1","0.598901098901099","0.0340306577688047"
"FBLN1","Macrophages M1","-0.659340659340659","0.017130288185381"
"TCP1","B cells memory","0.55908524625169","0.0469913446166014"
"TCP1","Macrophages M0","0.571428571428571","0.0448907229145101"
"CCT3","B cells memory","0.55908524625169","0.0469913446166014"
"CCT3","T cells CD8","-0.576923076923077","0.0425371857462402"
"CCT3","T cells regulatory (Tregs)","0.593406593406593","0.036025718049201"
"CCT3","Macrophages M0","0.648351648351648","0.0195813925695771"
"TNPO1","B cells naive","-0.620879120879121","0.0268669104130434"
"TNPO1","Plasma cells","-0.774725274725275","0.00292337735903988"
"TNPO1","Macrophages M0","0.675824175824176","0.0138970000809683"
"TNPO1","Dendritic cells resting","-0.576923076923077","0.0425371857462402"
"CABIN1","Dendritic cells resting","-0.604395604395604","0.0321195118097018"
"EYA4","Monocytes","-0.601479937738176","0.0296601497406446"
"GPBAR1","T cells follicular helper","-0.552957882120133","0.0499923778176299"
